id,type,midpoint_x,midpoint_y,v0_x,v0_y,v1_x,v1_y,v2_x,v2_y,v3_x,v3_y
0,thin,0.904508497187474,0.29389262614623674,2.220446049250313e-16,1.1102230246251565e-16,0.8090169943749477,0.5877852522924734,1.8090169943749477,0.5877852522924734,1.0000000000000002,1.1102230246251565e-16
1,thick,1.154508497187474,1.0633135104400502,0.8090169943749477,0.5877852522924734,0.5000000000000001,1.538841768587627,1.5000000000000002,1.538841768587627,1.8090169943749477,0.5877852522924734
2,thick,1.1545084971874737,2.014370026735204,1.8090169943749475,2.4898982848827806,1.5000000000000002,1.538841768587627,0.5000000000000001,1.538841768587627,0.8090169943749473,2.4898982848827806
3,thin,0.9045084971874735,2.7837909110290173,0.9999999999999998,3.0776835371752536,1.8090169943749475,2.4898982848827806,0.8090169943749473,2.4898982848827806,-2.220446049250313e-16,3.0776835371752536
4,thin,0.9045084971874734,3.37157616332149,-2.220446049250313e-16,3.0776835371752536,0.809016994374947,3.6654687894677265,1.809016994374947,3.6654687894677265,0.9999999999999998,3.0776835371752536
5,thick,1.1545084971874733,4.140997047615303,0.809016994374947,3.6654687894677265,0.49999999999999956,4.61652530576288,1.4999999999999996,4.61652530576288,1.809016994374947,3.6654687894677265
6,thick,1.1545084971874733,5.092053563910457,1.8090169943749468,5.567581822058034,1.4999999999999996,4.61652530576288,0.49999999999999956,4.61652530576288,0.8090169943749468,5.567581822058034
7,thick,1.154508497187473,6.043110080205611,0.8090169943749468,5.567581822058034,0.49999999999999933,6.518638338353187,1.4999999999999993,6.518638338353187,1.8090169943749468,5.567581822058034
8,thick,1.1545084971874728,6.994166596500764,1.8090169943749466,7.469694854648341,1.4999999999999993,6.518638338353187,0.49999999999999933,6.518638338353187,0.8090169943749466,7.469694854648341
9,thin,0.9045084971874728,7.763587480794579,0.999999999999999,8.057480106940815,1.8090169943749466,7.469694854648341,0.8090169943749466,7.469694854648341,-9.992007221626409e-16,8.057480106940815
10,thin,0.9045084971874727,8.351372733087052,-9.992007221626409e-16,8.057480106940815,0.8090169943749465,8.645265359233289,1.8090169943749466,8.645265359233289,0.999999999999999,8.057480106940815
11,thick,1.1545084971874728,9.120793617380865,0.8090169943749465,8.645265359233289,0.499999999999999,9.59632187552844,1.4999999999999991,9.59632187552844,1.8090169943749466,8.645265359233289
12,thick,1.1545084971874726,10.071850133676017,1.8090169943749461,10.547378391823594,1.4999999999999991,9.59632187552844,0.499999999999999,9.59632187552844,0.8090169943749462,10.547378391823594
13,thin,0.9045084971874724,10.84127101796983,0.9999999999999987,11.135163644116068,1.8090169943749461,10.547378391823594,0.8090169943749462,10.547378391823594,-1.3322676295501878e-15,11.135163644116068
14,thick,0.34549150281252494,11.610691902263644,-1.3322676295501878e-15,11.135163644116068,-0.3090169943749488,12.086220160411221,0.6909830056250512,12.086220160411221,0.9999999999999987,11.135163644116068
15,thin,0.5954915028125247,12.380112786557458,-0.3090169943749488,12.086220160411221,0.4999999999999982,12.674005412703695,1.4999999999999982,12.674005412703695,0.6909830056250512,12.086220160411221
16,thick,1.154508497187472,13.149533670851271,1.8090169943749455,13.625061928998848,1.4999999999999982,12.674005412703695,0.4999999999999982,12.674005412703695,0.8090169943749455,13.625061928998848
17,thick,1.1545084971874717,14.100590187146425,0.8090169943749455,13.625061928998848,0.499999999999998,14.576118445294002,1.499999999999998,14.576118445294002,1.8090169943749455,13.625061928998848
18,thick,1.1545084971874715,15.051646703441579,1.8090169943749452,15.527174961589155,1.499999999999998,14.576118445294002,0.499999999999998,14.576118445294002,0.8090169943749452,15.527174961589155
19,thin,0.9045084971874714,15.821067587735392,0.9999999999999976,16.114960213881627,1.8090169943749452,15.527174961589155,0.8090169943749452,15.527174961589155,-2.4424906541753444e-15,16.114960213881627
20,thin,0.9045084971874713,16.408852840027862,-2.4424906541753444e-15,16.114960213881627,0.809016994374945,16.7027454661741,1.809016994374945,16.7027454661741,0.9999999999999976,16.114960213881627
21,thick,1.1545084971874713,17.178273724321677,0.809016994374945,16.7027454661741,0.49999999999999756,17.653801982469254,1.4999999999999976,17.653801982469254,1.809016994374945,16.7027454661741
22,thick,1.154508497187471,18.12933024061683,1.8090169943749448,18.604858498764408,1.4999999999999976,17.653801982469254,0.49999999999999756,17.653801982469254,0.8090169943749448,18.604858498764408
23,thick,1.154508497187471,19.080386756911984,0.8090169943749448,18.604858498764408,0.49999999999999734,19.55591501505956,1.4999999999999973,19.55591501505956,1.8090169943749448,18.604858498764408
24,thin,0.5954915028125236,19.849807641205796,0.6909830056250499,20.14370026735203,1.4999999999999973,19.55591501505956,0.49999999999999734,19.55591501505956,-0.3090169943749501,20.14370026735203
25,thick,0.3454915028125234,20.619228525499608,0.9999999999999969,21.094756783647185,0.6909830056250499,20.14370026735203,-0.3090169943749501,20.14370026735203,-3.1086244689504383e-15,21.094756783647185
26,thin,0.9045084971874706,21.388649409793423,-3.1086244689504383e-15,21.094756783647185,0.8090169943749443,21.68254203593966,1.8090169943749443,21.68254203593966,0.9999999999999969,21.094756783647185
27,thick,1.1545084971874706,22.15807029408724,0.8090169943749443,21.68254203593966,0.4999999999999969,22.633598552234815,1.499999999999997,22.633598552234815,1.8090169943749443,21.68254203593966
28,thick,1.1545084971874706,23.109126810382392,1.8090169943749443,23.58465506852997,1.499999999999997,22.633598552234815,0.4999999999999969,22.633598552234815,0.8090169943749443,23.58465506852997
29,thin,0.9045084971874704,23.878547694676204,0.9999999999999964,24.17244032082244,1.8090169943749443,23.58465506852997,0.8090169943749443,23.58465506852997,-3.552713678800501e-15,24.17244032082244
30,thin,0.9045084971874702,24.466332946968677,-3.552713678800501e-15,24.17244032082244,0.8090169943749439,24.760225573114916,1.809016994374944,24.760225573114916,0.9999999999999964,24.17244032082244
31,thick,1.1545084971874702,25.235753831262492,0.8090169943749439,24.760225573114916,0.49999999999999645,25.71128208941007,1.4999999999999964,25.71128208941007,1.809016994374944,24.760225573114916
32,thick,1.1545084971874702,26.186810347557646,1.809016994374944,26.662338605705223,1.4999999999999964,25.71128208941007,0.49999999999999645,25.71128208941007,0.8090169943749439,26.662338605705223
33,thick,1.1545084971874702,27.1378668638528,0.8090169943749439,26.662338605705223,0.49999999999999645,27.613395122000377,1.4999999999999964,27.613395122000377,1.809016994374944,26.662338605705223
34,thick,1.15450849718747,28.088923380147953,1.8090169943749435,28.56445163829553,1.4999999999999964,27.613395122000377,0.49999999999999645,27.613395122000377,0.8090169943749435,28.56445163829553
35,thin,0.9045084971874697,28.858344264441765,0.999999999999996,29.152236890588,1.8090169943749435,28.56445163829553,0.8090169943749435,28.56445163829553,-3.9968028886505635e-15,29.152236890588
36,thin,0.9045084971874697,29.44612951673424,-3.9968028886505635e-15,29.152236890588,0.8090169943749435,29.740022142880477,1.8090169943749435,29.740022142880477,0.999999999999996,29.152236890588
37,thick,1.1545084971874697,30.215550401028054,0.8090169943749435,29.740022142880477,0.499999999999996,30.69107865917563,1.499999999999996,30.69107865917563,1.8090169943749435,29.740022142880477
38,thick,1.1545084971874695,31.166606917323207,1.809016994374943,31.642135175470784,1.499999999999996,30.69107865917563,0.499999999999996,30.69107865917563,0.809016994374943,31.642135175470784
39,thin,0.9045084971874693,31.93602780161702,0.9999999999999956,32.229920427763254,1.809016994374943,31.642135175470784,0.809016994374943,31.642135175470784,-4.440892098500626e-15,32.229920427763254
40,thick,0.34549150281252183,32.70544868591083,-4.440892098500626e-15,32.229920427763254,-0.3090169943749519,33.18097694405841,0.6909830056250481,33.18097694405841,0.9999999999999956,32.229920427763254
41,thick,0.34549150281252183,33.656505202205985,0.9999999999999956,34.13203346035356,0.6909830056250481,33.18097694405841,-0.3090169943749519,33.18097694405841,-4.440892098500626e-15,34.13203346035356
42,thin,0.9045084971874688,34.4259260864998,-4.440892098500626e-15,34.13203346035356,0.8090169943749421,34.71981871264603,1.8090169943749421,34.71981871264603,0.9999999999999956,34.13203346035356
43,thick,1.1545084971874684,35.19534697079361,0.8090169943749421,34.71981871264603,0.49999999999999467,35.670875228941185,1.4999999999999947,35.670875228941185,1.8090169943749421,34.71981871264603
44,thick,1.1545084971874684,36.14640348708876,1.8090169943749421,36.62193174523634,1.4999999999999947,35.670875228941185,0.49999999999999467,35.670875228941185,0.8090169943749421,36.62193174523634
45,thin,0.9045084971874684,36.91582437138258,0.9999999999999947,37.209716997528815,1.8090169943749421,36.62193174523634,0.8090169943749421,36.62193174523634,-5.329070518200751e-15,37.209716997528815
46,thin,0.9045084971874688,37.503609623675054,-5.329070518200751e-15,37.209716997528815,0.809016994374943,37.79750224982129,1.809016994374943,37.79750224982129,0.9999999999999947,37.209716997528815
47,thick,1.1545084971874693,38.27303050796887,0.809016994374943,37.79750224982129,0.49999999999999556,38.748558766116446,1.4999999999999956,38.748558766116446,1.809016994374943,37.79750224982129
48,thick,1.1545084971874688,39.22408702426402,1.8090169943749421,39.6996152824116,1.4999999999999956,38.748558766116446,0.49999999999999556,38.748558766116446,0.8090169943749421,39.6996152824116
49,thick,1.1545084971874684,40.175143540559176,0.8090169943749421,39.6996152824116,0.49999999999999467,40.65067179870675,1.4999999999999947,40.65067179870675,1.8090169943749421,39.6996152824116
50,thick,1.1545084971874684,41.12620005685433,1.8090169943749421,41.60172831500191,1.4999999999999947,40.65067179870675,0.49999999999999467,40.65067179870675,0.8090169943749421,41.60172831500191
51,thin,0.9045084971874684,41.89562094114814,0.9999999999999947,42.18951356729438,1.8090169943749421,41.60172831500191,0.8090169943749421,41.60172831500191,-5.329070518200751e-15,42.18951356729438
52,thin,0.904508497187468,42.483406193440615,-5.329070518200751e-15,42.18951356729438,0.8090169943749412,42.777298819586846,1.8090169943749412,42.777298819586846,0.9999999999999947,42.18951356729438
53,thick,1.1545084971874675,43.25282707773442,0.8090169943749412,42.777298819586846,0.4999999999999938,43.728355335882,1.4999999999999938,43.728355335882,1.8090169943749412,42.777298819586846
54,thick,1.1545084971874675,44.20388359402958,1.8090169943749412,44.679411852177154,1.4999999999999938,43.728355335882,0.4999999999999938,43.728355335882,0.8090169943749412,44.679411852177154
55,thin,0.9045084971874671,44.97330447832339,0.9999999999999929,45.26719710446963,1.8090169943749412,44.679411852177154,0.8090169943749412,44.679411852177154,-7.105427357601002e-15,45.26719710446963
